               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.011512,           0.0047055,          0.00035338,              0.9982,             0.99991,               0.995,             0.90162,           0.0097795,           0.0040493,          0.00029995,            0.003862,            0.003862,            0.003862
                  64,            0.011645,           0.0048198,           0.0003723,             0.99795,                   1,               0.995,             0.92952,           0.0078746,           0.0034457,          0.00030879,            0.003763,            0.003763,            0.003763
                  65,            0.011198,           0.0046713,          0.00036085,              0.9973,                   1,             0.99497,             0.92939,           0.0078144,           0.0034343,          0.00029508,            0.003664,            0.003664,            0.003664
                  66,            0.011254,           0.0046472,          0.00036472,             0.99716,                   1,             0.99497,             0.92801,           0.0076356,           0.0034429,          0.00032656,            0.003565,            0.003565,            0.003565
                  67,            0.010848,           0.0045485,           0.0003419,             0.99689,                   1,             0.99499,             0.93604,           0.0076023,           0.0033996,          0.00026757,            0.003466,            0.003466,            0.003466
                  68,            0.010848,            0.004584,          0.00033217,             0.99778,                   1,               0.995,             0.93133,            0.007617,           0.0033169,          0.00026906,            0.003367,            0.003367,            0.003367
                  69,            0.010758,           0.0047048,          0.00031915,             0.99833,                   1,               0.995,               0.929,           0.0078371,           0.0033151,          0.00024005,            0.003268,            0.003268,            0.003268
                  70,            0.010609,            0.004534,          0.00031866,             0.99739,                   1,             0.99489,             0.93426,           0.0076048,           0.0033021,          0.00027992,            0.003169,            0.003169,            0.003169
                  71,            0.010576,           0.0045219,          0.00031414,             0.99853,                   1,               0.995,             0.93424,           0.0076674,           0.0032966,          0.00022379,             0.00307,             0.00307,             0.00307
                  72,            0.010245,           0.0044916,          0.00026461,             0.99806,                   1,             0.99499,             0.93421,           0.0074571,           0.0032654,          0.00021354,            0.002971,            0.002971,            0.002971
                  73,            0.010028,           0.0044246,          0.00026787,             0.99738,                   1,             0.99497,             0.93776,           0.0073237,           0.0032517,          0.00022575,            0.002872,            0.002872,            0.002872
                  74,           0.0099728,           0.0043216,          0.00027088,             0.99893,                   1,               0.995,             0.93807,           0.0073435,           0.0031972,          0.00021216,            0.002773,            0.002773,            0.002773
                  75,           0.0099064,           0.0044408,          0.00024625,             0.99973,                   1,               0.995,             0.93695,           0.0071771,           0.0031375,          0.00020086,            0.002674,            0.002674,            0.002674
                  76,            0.010245,           0.0044397,          0.00026151,             0.99788,                   1,               0.995,             0.93752,           0.0073761,           0.0032003,          0.00021931,            0.002575,            0.002575,            0.002575
                  77,           0.0097016,           0.0043287,           0.0002429,             0.99857,                   1,               0.995,             0.93993,           0.0073377,           0.0031914,          0.00018467,            0.002476,            0.002476,            0.002476
                  78,            0.010009,           0.0043965,          0.00023666,             0.99763,                   1,               0.995,             0.93906,           0.0072182,           0.0031723,          0.00019386,            0.002377,            0.002377,            0.002377
                  79,           0.0093566,           0.0043556,          0.00023572,             0.99796,                   1,               0.995,             0.94135,           0.0071926,           0.0031379,          0.00018108,            0.002278,            0.002278,            0.002278
                  80,           0.0094703,           0.0041072,          0.00022219,             0.99851,                   1,               0.995,             0.94115,           0.0070819,           0.0031346,          0.00017086,            0.002179,            0.002179,            0.002179
                  81,           0.0093244,           0.0042263,          0.00020892,             0.99936,                   1,               0.995,             0.94199,           0.0070758,           0.0031397,          0.00016936,             0.00208,             0.00208,             0.00208
                  82,           0.0091689,           0.0040967,          0.00020144,             0.99773,                   1,               0.995,              0.9432,           0.0070251,            0.003132,          0.00016107,            0.001981,            0.001981,            0.001981
                  83,           0.0088817,           0.0042635,          0.00018381,             0.99832,                   1,               0.995,             0.94494,           0.0069916,           0.0031004,          0.00014437,            0.001882,            0.001882,            0.001882
                  84,           0.0092099,           0.0041654,          0.00017607,              0.9987,                   1,               0.995,             0.94637,           0.0069114,           0.0030743,          0.00014278,            0.001783,            0.001783,            0.001783
                  85,           0.0089032,           0.0042215,          0.00017139,             0.99958,                   1,               0.995,             0.94534,           0.0069147,            0.003029,          0.00013447,            0.001684,            0.001684,            0.001684
                  86,           0.0088492,           0.0040876,          0.00016402,             0.99895,                   1,               0.995,             0.94661,           0.0067858,           0.0030297,           0.0001383,            0.001585,            0.001585,            0.001585
                  87,           0.0087285,           0.0041209,          0.00015368,             0.99842,                   1,               0.995,             0.94308,           0.0068797,           0.0030475,           0.0001188,            0.001486,            0.001486,            0.001486
                  88,           0.0087315,           0.0040281,          0.00014662,             0.99859,                   1,               0.995,             0.94647,           0.0068711,            0.003012,           0.0001121,            0.001387,            0.001387,            0.001387
                  89,             0.00854,            0.004054,          0.00014334,             0.99943,                   1,               0.995,             0.94877,           0.0067535,            0.003032,          0.00010937,            0.001288,            0.001288,            0.001288
